"WineBudget","PercFirsts"
"Caius",96994,21.1
"Christ's",71055,24.7
"Churchill",87685,28.3
"Clare",79989,25.3
"CorpusChristi",79254,23.9
"Downing",77798,23
"Emma",131127,30.5
"Fitzwilliam",23028,21.4
"Girton",30051,18.5
"Homerton",27974.55,16
"Jesus",212256,27.1
"King's",338559,25.9
"Magdalene",68192,22.8
"MurrayEdwards",32917,13.9
"Newnham",27263,15.8
"Pembroke",141692,33.7
"Peterhouse",82133,27.8
"Robinson",44722.39,16.2
"Selwyn",49498,21.6
"StCatharine's",62432,26.9
"StEdmund's",19304,13.4
"StJohn's",260064,25.1
"Trinity",223291.98,41.7
"TrinityHall",127186,28.1
