"vehicle","colour","passing.distance","street","time","helmet","kerb","city"
"ordinary car","blue",2.114,"urban street","After 15:15","No",0.5,"Salisbury"
"HGV","red",0.998,"urban street","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","blue",1.817,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","unknown",1.64,"urban street","After 15:15","No",0.5,"Salisbury"
"bus","other",1.544,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.509,"urban street","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",1.29,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.512,"main road","Before 9:00","Yes",1,"Salisbury"
"bus","red",1.049,"main road","Before 9:00","Yes",1,"Salisbury"
"PTW","unknown",1.932,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.145,"main road","Before 9:00","Yes",1,"Salisbury"
"SUV or pickup","white",1.41,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.428,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.494,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.57,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",2.103,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",0.896,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.16,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.29,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","white",1.963,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",2.436,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",2.304,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","black",1.482,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.492,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.432,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","green",1.504,"main road","Before 9:00","Yes",1,"Salisbury"
"PTW","unknown",1.046,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.306,"main road","Before 9:00","Yes",1,"Salisbury"
"taxi","silver or grey",1.15,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.43,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.569,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.796,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","black",1.51,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.493,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.261,"main road","Before 9:00","Yes",1,"Salisbury"
"PTW","unknown",1.363,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.242,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.105,"main road","Before 9:00","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",1.548,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.178,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.742,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","red",1.87,"main road","Before 9:00","Yes",1,"Salisbury"
"HGV","white",1.134,"main road","Before 9:00","Yes",1,"Salisbury"
"HGV","green",0.794,"main road","Before 9:00","Yes",1,"Salisbury"
"HGV","other",1.016,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","blue",0.973,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","black",1.186,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.549,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.172,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.307,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","white",1.469,"main road","Before 9:00","Yes",1,"Salisbury"
