"Film.name","Total.Gross","Opening","Screens","RT","Budget"
"12 Rounds",12.2347,5.3292,2331,29,20
"17 Again",64.1671,23.7223,3255,55,20
"2012",166.1122,65.2376,3404,39,200
"9",31.7499,10.7404,1661,57,30
"A Christmas Carol",137.8559,30.0511,3683,53,190
"A Perfect Getaway",15.5155,5.9486,2159,60,14
"Adventureland",16.044,5.722,1862,89,9.8
"Aliens in the Attic",25.2004,8.0084,3106,30,45
"Alvin and the Chipmunks: The Squeaksquel",219.6146,48.8754,3700,21,70
"Amelia",14.2454,3.904,820,21,40
"Angels and Demons",133.3758,46.2042,3527,36,150
"Armored",15.9889,6.5111,1915,42,20
"Astro Boy",19.5511,6.7029,3014,50,65
"Avatar",749.085,77.025,3452,83,237
"Bride Wars",58.7155,21.0582,3226,11,30
"Brothers",28.5442,9.5278,2088,61,26
"Bruno",60.0545,30.6191,2756,68,42
"Cirque du Freak: The Vampire's Assistant",13.8695,6.2932,2754,38,40
"Cloudy with a Chance of Meatballs",124.8703,30.3046,3119,86,100
"Coraline",75.2862,16.8496,2299,90,60
"Couples Retreat",109.2049,34.2867,3000,12,60
"Crank: High Voltage",13.6842,6.9636,2223,63,20
"Dance Flick",25.6622,10.6435,2450,18,25
"Did You Hear About the Morgans?",29.5801,6.6166,2718,12,58
"District 9",115.6462,37.3543,3049,91,30
"Drag Me to Hell",42.1006,15.8255,2508,92,30
"Dragonball Evolution",9.3628,4.7565,2181,14,30
"Duplicity",40.5728,13.9651,2574,64,60
"Earth",32.0116,8.8258,1804,87,15
"Everybody's Fine",9.2089,3.8521,2133,46,20
"Extract",10.8232,4.3401,1611,63,7.5
"Fame",22.4555,10.0117,3096,25,18
"Fast and Furious",155.0643,70.9505,3461,27,85
"Fired Up",17.2313,5.4838,1810,22,20
"Friday the 13th",65.002,40.5704,3105,25,17
"Funny People",51.855,22.6578,3007,68,72.5
"G-Force",119.4368,31.7069,3697,21,150
"G.I. Joe: The Rise of the Cobra",150.2015,54.713,4007,33,175
"Gamer",20.5349,9.1561,2502,30,15
"Halloween II",33.393,16.3496,3025,21,15
"Hannah Montana the Movie",79.5762,32.3245,3118,44,30
"Harry Potter and the Half-Blood Prince",301.9592,77.8357,4325,84,250
"He's Just Not That Into You",93.9537,27.7855,3175,42,40
"Hotel for Dogs",73.0345,17.0122,3271,46,35
"I Love You Beth Cooper",14.8007,4.9194,1858,14,18
"I Love You, Man",71.44,17.8103,2711,83,40
"Ice Age: Dawn of the Dinosaurs",196.5737,41.6904,4099,45,90
"Imagine That",16.1233,5.5035,3008,38,55
"Inglorious Basterds",120.5401,38.0547,3165,88,70
"Inkheart",17.3034,7.6014,2655,39,60
"Invictus",37.4914,8.6111,2125,75,49
"It's Complicated",112.7354,22.1008,2887,56,85
"Jennifer's Body",16.2048,6.8684,2702,43,16
"Julie and Julia",94.1254,20.028,2354,75,40
"Knowing",79.9576,24.6048,3332,33,50
"Land of the Lost",49.4384,18.8374,3521,27,100
"Law Abiding Citizen",73.3577,21.0395,2890,25,53
"Love Happens",22.9651,8.057,1898,18,18
"Michael Jackson's This Is It",72.091,23.2344,3481,81,60
"Monsters vs. Aliens",198.3515,59.3211,4104,72,175
"My Bloody Valentine 3D",51.546,21.2415,2534,56,14
"My Life in Ruins",8.6652,3.2232,1164,9,17
"My Sister's Keeper",49.2,12.4422,2606,48,27.5
"New in Town",16.7343,6.7415,1941,27,8
"Next Day Air",10.027,4.111,1138,21,3
"Night at the Museum: Battle of the Smithsonian",177.2437,54.1733,4096,43,150
"Ninja Assasin",38.1229,13.3162,2503,25,50
"Not Easily Broken",10.5727,5.3143,724,34,5
"Notorious",36.8437,20.4976,1638,50,19
"Observe and Report",24.0073,11.0173,2727,51,18
"Obsessed",68.2616,28.6127,2514,20,20
"Old Dogs",49.4921,16.8945,3425,5,35
"Pandorum",10.3309,4.4241,2506,27,40
"Paul Blart: Mall Cop",146.3362,31.8326,3144,33,26
"Planet 51",42.1941,12.2861,3035,22,60
"Ponyo",15.0904,3.5859,927,92,34
"Public Enemies",97.1045,25.2717,3334,67,102.5
"Push",31.8115,10.0791,2313,22,38
"Race to Witch Mountain",67.1726,24.4022,3187,43,65
"Saw VI",27.6933,14.1184,3036,40,11
"Sherlock Holmes",209.0287,62.3043,3626,70,90
"Shorts",20.9192,6.4103,3105,44,40
"Sorority Row",11.9653,5.0598,2665,22,12.5
"Star Trek",257.73,75.2043,3849,95,140
"State of Play",37.018,14.0713,2803,84,60
"Street Fighter: The Legend of Chun-Li",8.7423,4.7211,1136,18,50
"Surrogates",38.5778,14.9027,2951,39,80
"Taken",145.001,24.717,3183,58,25
"Terminator Salvation",125.3225,42.5584,3530,33,200
"The Blind Side",255.9517,34.1194,3110,66,35
"The Box",15.052,7.5714,2635,45,25
"The Final Destination",66.4777,27.4083,3121,30,40
"The Fourth Kind",25.486,12.2312,2527,17,10
"The Goods: Live Hard, Sell Hard",15.1227,5.642,1838,25,10
"The Hangover",277.3225,44.9793,3269,78,35
"The Informant!",33.3168,10.4643,2505,78,22
"The International",25.4505,9.3317,2364,59,50
"The Invention of Lying",18.4513,7.0275,1707,56,18.5
"The Last House on the Left",32.7522,14.1187,2401,63,0.1
"The Men Who Stare at Goats",32.4282,12.7067,2443,52,24
"The Proposal",163.958,33.6276,3056,43,40
"The Soloist",31.7202,9.7165,2024,56,60
"The Stepfather",29.0626,11.5816,2734,12,20
"The Taking of Pelham 1 2 3",65.4523,23.3731,3074,51,110
"The Time Traveler's Wife",63.4148,18.6232,2988,37,39
"The Twilight Saga: New Moon",296.6236,142.8391,4024,28,50
"The Ugly Truth",88.9152,27.6056,2882,13,38
"The Unborn",42.67,19.8106,2357,12,16
"Transformers: Revenge of the Fallen",402.1119,108.9663,4234,20,210
"Tyler Perry's I Can Do Bad All By Myself",51.7339,23.4468,2255,60,19
"Tyler Perry's Madea Goes to Jail",90.5083,41.0309,2032,27,17.5
"Underworld: Rise of the Lycans",45.8023,20.8285,2942,30,35
"Up",293.0042,68.1088,3766,98,175
"Watchmen",107.5098,55.2143,3611,64,138
"Where the Wild Things Are",77.2335,32.6954,3735,73,100
"Whip It",13.0434,4.6508,1721,84,15
"Whiteout",10.2756,4.9151,2745,7,35
"X-Men Origins: Wolverine",179.8832,85.058,4099,37,150
"Year One",43.3373,19.6103,3022,15,60
"Zombieland",75.5903,24.7332,3036,90,23.6
