"Film.name","Total.Gross","Opening","Screens","RT","Budget"
"Cop Out",44.875481,18.211126,3150,19,37
"Daybreakers",30.101577,15.146692,2523,67,20
"Dear John",80.014842,30.468614,2969,29,25
"Edge of Darkness",43.31389,17.214384,3066,55,60
"Extraordinary Measures",12.482741,6.012594,2545,27,31
"From Paris With Love",24.077427,8.15886,2722,37,52
"Leap Year",25.91892,9.202815,2511,21,19
"Legion",40.16808,17.501625,2476,20,26
"Percy Jackson & The Olympians",88.768303,31.236067,3356,49,95
"Shutter Island",128.012934,41.06244,2991,69,80
"The Book of Eli",94.835059,32.789494,3111,48,80
"The Crazies",39.123589,16.067552,2477,72,19
"The Tooth Fairy",60.022256,14.010409,3344,16,48
"The Wolf Man",62.189884,31.479235,3222,34,150
"Valentine's Day",110.485654,56.260707,3665,18,52
"Youth in Revolt",15.285588,6.888334,1873,68,18
