"myopic","gender","sportHR","readHR","compHR","studyHR","TVHR","mumMyopic","dadMyopic"
1,"female",45,8,0,0,10,"Yes","Yes"
0,"female",4,0,1,1,7,"Yes","Yes"
0,"female",14,0,2,0,10,"No","No"
1,"female",18,11,0,0,4,"No","Yes"
0,"male",14,0,0,0,4,"Yes","No"
0,"male",10,6,2,1,19,"No","Yes"
0,"female",12,7,2,1,8,"No","Yes"
0,"female",12,0,0,0,8,"No","No"
0,"male",4,0,3,1,3,"No","No"
0,"female",30,5,1,0,10,"No","No"
0,"male",8,8,10,12,10,"Yes","Yes"
0,"female",5,5,0,0,5,"Yes","Yes"
0,"male",8,2,3,0,3,"No","No"
0,"male",14,3,0,1,4,"No","No"
0,"male",10,0,2,0,20,"Yes","No"
0,"male",8,2,1,1,3,"No","No"
0,"female",4,5,1,1,3,"No","No"
0,"male",1,4,0,0,21,"No","No"
0,"female",18,0,0,5,18,"No","No"
0,"male",14,2,2,2,7,"No","No"
0,"male",6,2,4,3,12,"No","Yes"
0,"male",10,1,0,0,4,"No","Yes"
0,"male",10,2,0,2,6,"No","Yes"
0,"female",14,7,0,4,14,"No","No"
0,"male",25,5,0,2,10,"No","Yes"
0,"male",35,1,7,0,14,"No","No"
0,"female",25,0,0,1,11,"Yes","Yes"
1,"male",10,0,2,1,12,"Yes","No"
1,"male",5,2,1,1,5,"Yes","Yes"
0,"male",5,1,2,3,3,"Yes","No"
0,"female",2,2,0,2,14,"Yes","No"
0,"male",4,2,4,3,13,"Yes","Yes"
0,"male",14,4,1,1,14,"Yes","Yes"
0,"female",28,2,0,1,14,"No","Yes"
0,"male",8,1,0,0,20,"Yes","No"
0,"male",23,0,7,0,21,"No","Yes"
0,"male",18,7,2,3,11,"No","No"
0,"female",4,0,0,0,20,"No","Yes"
0,"male",5,4,2,0,2,"No","Yes"
1,"male",3,1,2,1,10,"No","Yes"
0,"male",33,0,2,0,2,"Yes","Yes"
0,"female",8,0,0,0,4,"No","No"
0,"female",11,5,2,5,18,"Yes","No"
0,"male",35,1,2,3,9,"Yes","No"
0,"male",20,3,2,1,10,"Yes","No"
1,"male",2,2,1,1,3,"No","Yes"
0,"male",22,2,9,5,14,"Yes","No"
0,"male",10,0,1,1,10,"No","Yes"
1,"male",12,2,4,1,7,"Yes","No"
0,"male",7,2,7,2,14,"Yes","Yes"
0,"male",6,1,1,1,2,"Yes","Yes"
0,"female",2,1,1,1,2,"No","Yes"
0,"female",8,0,2,0,5,"No","Yes"
0,"female",6,3,0,0,3,"Yes","No"
0,"male",20,0,0,1,5,"No","Yes"
0,"male",7,5,3,2,7,"No","Yes"
0,"male",20,0,2,0,15,"Yes","Yes"
0,"male",8,1,3,0,9,"Yes","Yes"
0,"male",5,4,0,0,4,"No","Yes"
0,"female",5,2,0,1,10,"No","Yes"
0,"male",15,6,2,1,7,"No","Yes"
0,"male",2,1,1,2,8,"Yes","No"
0,"male",10,2,10,2,5,"No","No"
0,"male",3,0,2,1,4,"No","Yes"
0,"male",0,1,30,1,20,"No","Yes"
1,"female",14,5,0,0,20,"Yes","No"
0,"male",10,0,0,0,10,"No","No"
