"match","subject_m","goal_m","date_m","go_out_m","subject_f","goal_f","date_f","go_out_f"
0,"Econ","fun","several/yr","> 2/week","Law","meet ppl","almost never","> 2/week"
0,"Econ","fun","1/month","2/month","Law","meet ppl","almost never","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","meet ppl","almost never","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","meet ppl","almost never","> 2/week"
1,"Law","fun","2/month","> 2/week","Law","meet ppl","almost never","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","meet ppl","almost never","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","meet ppl","almost never","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","meet ppl","almost never","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","meet ppl","almost never","> 2/week"
1,"Law","meet ppl","almost never","> 2/week","Law","meet ppl","almost never","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","fun","2/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","1/month","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Law","fun","1/month","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Sciences","other","1/week","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Sciences","other","1/week","> 2/week"
0,"Econ","fun","1/month","> 2/week","Sciences","other","1/week","> 2/week"
0,"Law","meet ppl","2/month","> 2/week","Sciences","other","1/week","> 2/week"
0,"Econ","date","> 2/week","> 2/week","Sciences","other","1/week","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Sciences","other","1/week","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Sciences","other","1/week","> 2/week"
0,"Law","fun","2/month","> 2/week","Sciences","other","1/week","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Sciences","other","1/week","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Sciences","other","1/week","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","fun","2/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Law","fun","1/month","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","fun","1/month","> 2/week"
0,"Law","fun","2/month","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Econ","fun","1/month","2/month","Law","meet ppl","2/month","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","meet ppl","2/month","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","meet ppl","2/month","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Law","meet ppl","2/month","> 2/week"
0,"Econ","fun","1/month","2/month","Law","fun","1/week","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","fun","1/week","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","fun","1/week","> 2/week"
0,"Law","fun","2/month","> 2/week","Law","fun","1/week","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","1/week","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","fun","1/week","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","1/week","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","fun","1/week","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","fun","1/week","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Law","fun","1/week","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Law","fun","1/month","> 2/week"
0,"Law","fun","2/month","> 2/week","Law","fun","1/month","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","1/month","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Law","fun","1/month","> 2/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","1/month","> 2/week"
0,"Law","meet ppl","almost never","> 2/week","Law","fun","1/month","> 2/week"
1,"Law","fun","> 2/week","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Law","meet ppl","almost never","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Arts+Humanities","fun","1/month","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Econ","fun","> 2/week","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
1,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","1/month","> 2/week"
0,"Econ","fun","1/month","2/month","Arts+Humanities","fun","2/month","> 2/week"
1,"Law","meet ppl","2/month","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Law","fun","> 2/week","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Law","meet ppl","almost never","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Arts+Humanities","date","1/week","2/week","Arts+Humanities","fun","2/month","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Arts+Humanities","fun","2/month","> 2/week"
0,"Econ","fun","1/month","2/month","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Law","meet ppl","2/month","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Law","fun","> 2/week","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
1,"Law","meet ppl","almost never","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Arts+Humanities","date","1/week","2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,"Econ","fun","> 2/week","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
1,"Econ","date","> 2/week","> 2/week","Arts+Humanities","meet ppl","several/yr","> 2/week"
0,NA,"meet ppl","almost never","almost never","Sciences","other","almost never","2/month"
0,"Econ","fun","1/week","2/week","Sciences","other","almost never","2/month"
0,"Law","other","2/month","2/week","Sciences","other","almost never","2/month"
0,"Law","fun","1/month","1/week","Sciences","other","almost never","2/month"
0,"Sciences","meet ppl","several/yr","2/week","Sciences","other","almost never","2/month"
0,"Econ","meet ppl","several/yr","1/week","Sciences","other","almost never","2/month"
0,"Law","other","several/yr","2/week","Sciences","other","almost never","2/month"
0,"Econ","fun","several/yr","> 2/week","Sciences","other","almost never","2/month"
0,"Econ","meet ppl","several/yr","2/week","Sciences","other","almost never","2/month"
0,"Law","meet ppl","several/yr","1/month","Sciences","other","almost never","2/month"
0,"Econ","fun","1/month","> 2/week","Sciences","other","almost never","2/month"
