"By","Against","HomeAway"
"Leicester","Chelsea","Home"
"QPR","Tottenham","Home"
"Aston Villa","West Brom","Home"
"Hull","Sunderland","Home"
"Liverpool","Burnley","Home"
"QPR","Arsenal","Home"
"Southampton","Crystal Palace","Home"
"West Ham","Chelsea","Home"
"Man City","Leicester","Home"
"Newcastle","Man United","Home"
"Stoke","Everton","Home"
"Tottenham","Swansea","Home"
"Arsenal","West Ham","Home"
"Burnley","Man City","Home"
"Chelsea","Southampton","Home"
"Crystal Palace","QPR","Home"
"Everton","Newcastle","Home"
"Leicester","Hull","Home"
"Man United","Tottenham","Home"
"Sunderland","Aston Villa","Home"
"Swansea","Liverpool","Home"
"West Brom","Stoke","Home"
"Aston Villa","Swansea","Home"
"Hull","Chelsea","Home"
"Liverpool","Man United","Home"
"Man City","West Brom","Home"
"Newcastle","Arsenal","Home"
"QPR","Everton","Home"
"Southampton","Burnley","Home"
"Stoke","Crystal Palace","Home"
"Tottenham","Leicester","Home"
"West Ham","Sunderland","Home"
"Arsenal","Liverpool","Home"
"Burnley","Tottenham","Home"
"Chelsea","Stoke","Home"
"Crystal Palace","Man City","Home"
"Everton","Southampton","Home"
"Leicester","West Ham","Home"
"Man United","Aston Villa","Home"
"Sunderland","Newcastle","Home"
"Swansea","Hull","Home"
"West Brom","QPR","Home"
"Burnley","Arsenal","Home"
"Liverpool","Newcastle","Home"
"Man United","Man City","Home"
"QPR","Chelsea","Home"
"Southampton","Hull","Home"
"Sunderland","Crystal Palace","Home"
"Swansea","Everton","Home"
"Tottenham","Aston Villa","Home"
"West Brom","Leicester","Home"
"West Ham","Stoke","Home"
"Arsenal","Sunderland","Home"
"Aston Villa","QPR","Home"
"Chelsea","Man United","Home"
"Crystal Palace","West Brom","Home"
"Everton","Burnley","Home"
"Hull","Liverpool","Home"
"Leicester","Swansea","Home"
"Man City","West Ham","Home"
"Newcastle","Tottenham","Home"
"Stoke","Southampton","Home"
"Arsenal","Chelsea","Home"
"Burnley","Leicester","Home"
"Crystal Palace","Hull","Home"
"Everton","Man United","Home"
"Man City","Aston Villa","Home"
"Newcastle","Swansea","Home"
"QPR","West Ham","Home"
"Southampton","Tottenham","Home"
"Stoke","Sunderland","Home"
"West Brom","Liverpool","Home"
"Aston Villa","Everton","Home"
"Chelsea","Crystal Palace","Home"
"Hull","Arsenal","Home"
"Leicester","Newcastle","Home"
"Liverpool","QPR","Home"
"Man United","West Brom","Home"
"Sunderland","Southampton","Home"
"Swansea","Stoke","Home"
"Tottenham","Man City","Home"
"West Ham","Burnley","Home"
"Arsenal","Swansea","Home"
"Aston Villa","West Ham","Home"
"Chelsea","Liverpool","Home"
"Crystal Palace","Man United","Home"
"Everton","Sunderland","Home"
"Hull","Burnley","Home"
"Leicester","Southampton","Home"
"Man City","QPR","Home"
"Newcastle","West Brom","Home"
"Stoke","Tottenham","Home"
"Burnley","Stoke","Home"
"Liverpool","Crystal Palace","Home"
"Man United","Arsenal","Home"
"QPR","Newcastle","Home"
"Southampton","Aston Villa","Home"
"Sunderland","Leicester","Home"
"Swansea","Man City","Home"
"Tottenham","Hull","Home"
"West Brom","Chelsea","Home"
"West Ham","Everton","Home"
"Arsenal","West Brom","Home"
"Aston Villa","Burnley","Home"
"Chelsea","Sunderland","Home"
"Crystal Palace","Swansea","Home"
"Everton","Tottenham","Home"
"Hull","Man United","Home"
"Leicester","QPR","Home"
"Man City","Southampton","Home"
"Newcastle","West Ham","Home"
"Stoke","Liverpool","Home"
"Chelsea","Leicester","Away"
"Tottenham","QPR","Away"
"West Brom","Aston Villa","Away"
"Sunderland","Hull","Away"
"Burnley","Liverpool","Away"
"Arsenal","QPR","Away"
"Crystal Palace","Southampton","Away"
"Chelsea","West Ham","Away"
"Leicester","Man City","Away"
"Man United","Newcastle","Away"
"Everton","Stoke","Away"
"Swansea","Tottenham","Away"
"West Ham","Arsenal","Away"
"Man City","Burnley","Away"
"Southampton","Chelsea","Away"
"QPR","Crystal Palace","Away"
"Newcastle","Everton","Away"
"Hull","Leicester","Away"
"Tottenham","Man United","Away"
"Aston Villa","Sunderland","Away"
"Liverpool","Swansea","Away"
"Stoke","West Brom","Away"
"Swansea","Aston Villa","Away"
"Chelsea","Hull","Away"
"Man United","Liverpool","Away"
"West Brom","Man City","Away"
"Arsenal","Newcastle","Away"
"Everton","QPR","Away"
"Burnley","Southampton","Away"
"Crystal Palace","Stoke","Away"
"Leicester","Tottenham","Away"
"Sunderland","West Ham","Away"
"Liverpool","Arsenal","Away"
"Tottenham","Burnley","Away"
"Stoke","Chelsea","Away"
"Man City","Crystal Palace","Away"
"Southampton","Everton","Away"
"West Ham","Leicester","Away"
"Aston Villa","Man United","Away"
"Newcastle","Sunderland","Away"
"Hull","Swansea","Away"
"QPR","West Brom","Away"
"Arsenal","Burnley","Away"
"Newcastle","Liverpool","Away"
"Man City","Man United","Away"
"Chelsea","QPR","Away"
"Hull","Southampton","Away"
"Crystal Palace","Sunderland","Away"
"Everton","Swansea","Away"
"Aston Villa","Tottenham","Away"
"Leicester","West Brom","Away"
"Stoke","West Ham","Away"
"Sunderland","Arsenal","Away"
"QPR","Aston Villa","Away"
"Man United","Chelsea","Away"
"West Brom","Crystal Palace","Away"
"Burnley","Everton","Away"
"Liverpool","Hull","Away"
"Swansea","Leicester","Away"
"West Ham","Man City","Away"
"Tottenham","Newcastle","Away"
"Southampton","Stoke","Away"
"Chelsea","Arsenal","Away"
"Leicester","Burnley","Away"
"Hull","Crystal Palace","Away"
"Man United","Everton","Away"
"Aston Villa","Man City","Away"
"Swansea","Newcastle","Away"
"West Ham","QPR","Away"
"Tottenham","Southampton","Away"
"Sunderland","Stoke","Away"
"Liverpool","West Brom","Away"
"Everton","Aston Villa","Away"
"Crystal Palace","Chelsea","Away"
"Arsenal","Hull","Away"
"Newcastle","Leicester","Away"
"QPR","Liverpool","Away"
"West Brom","Man United","Away"
"Southampton","Sunderland","Away"
"Stoke","Swansea","Away"
"Man City","Tottenham","Away"
"Burnley","West Ham","Away"
"Swansea","Arsenal","Away"
"West Ham","Aston Villa","Away"
"Liverpool","Chelsea","Away"
"Man United","Crystal Palace","Away"
"Sunderland","Everton","Away"
"Burnley","Hull","Away"
"Southampton","Leicester","Away"
"QPR","Man City","Away"
"West Brom","Newcastle","Away"
"Tottenham","Stoke","Away"
"Stoke","Burnley","Away"
