"GoalsScored","By","Against","HomeAway"
0,"Arsenal","Sunderland","Home"
5,"Fulham","Norwich","Home"
2,"Newcastle","Tottenham","Home"
0,"QPR","Swansea","Home"
1,"Reading","Stoke","Home"
3,"West Brom","Liverpool","Home"
1,"West Ham","Aston Villa","Home"
3,"Man City","Southampton","Home"
0,"Wigan","Chelsea","Home"
1,"Everton","Man United","Home"
4,"Chelsea","Reading","Home"
1,"Aston Villa","Everton","Home"
2,"Chelsea","Newcastle","Home"
3,"Man United","Fulham","Home"
1,"Norwich","QPR","Home"
0,"Southampton","Wigan","Home"
3,"Swansea","West Ham","Home"
1,"Tottenham","West Brom","Home"
2,"Liverpool","Man City","Home"
0,"Stoke","Arsenal","Home"
3,"Man City","QPR","Home"
2,"Swansea","Sunderland","Home"
1,"Tottenham","Norwich","Home"
2,"West Brom","Everton","Home"
3,"West Ham","Fulham","Home"
2,"Wigan","Stoke","Home"
0,"Liverpool","Arsenal","Home"
1,"Newcastle","Aston Villa","Home"
2,"Southampton","Man United","Home"
6,"Arsenal","Southampton","Home"
2,"Aston Villa","Swansea","Home"
3,"Fulham","West Brom","Home"
4,"Man United","Wigan","Home"
0,"Norwich","West Ham","Home"
0,"QPR","Chelsea","Home"
1,"Stoke","Man City","Home"
1,"Sunderland","Liverpool","Home"
1,"Reading","Tottenham","Home"
2,"Everton","Newcastle","Home"
1,"Chelsea","Stoke","Home"
4,"Southampton","Aston Villa","Home"
0,"Swansea","Everton","Home"
1,"West Brom","Reading","Home"
1,"West Ham","Sunderland","Home"
1,"Wigan","Fulham","Home"
1,"Liverpool","Man United","Home"
1,"Man City","Arsenal","Home"
1,"Newcastle","Norwich","Home"
2,"Tottenham","QPR","Home"
1,"Arsenal","Chelsea","Home"
3,"Everton","Southampton","Home"
1,"Fulham","Man City","Home"
2,"Man United","Tottenham","Home"
2,"Norwich","Liverpool","Home"
2,"Reading","Newcastle","Home"
2,"Stoke","Swansea","Home"
1,"Sunderland","Wigan","Home"
1,"Aston Villa","West Brom","Home"
1,"QPR","West Ham","Home"
4,"Chelsea","Norwich","Home"
3,"Man City","Sunderland","Home"
2,"Swansea","Reading","Home"
3,"West Brom","QPR","Home"
1,"West Ham","Arsenal","Home"
2,"Wigan","Everton","Home"
0,"Liverpool","Stoke","Home"
0,"Newcastle","Man United","Home"
2,"Southampton","Fulham","Home"
2,"Tottenham","Aston Villa","Home"
1,"Fulham","Aston Villa","Home"
1,"Liverpool","Reading","Home"
4,"Man United","Stoke","Home"
1,"Norwich","Arsenal","Home"
2,"Swansea","Wigan","Home"
2,"Tottenham","Chelsea","Home"
1,"West Brom","Man City","Home"
4,"West Ham","Southampton","Home"
1,"QPR","Everton","Home"
1,"Sunderland","Newcastle","Home"
1,"Arsenal","QPR","Home"
1,"Aston Villa","Norwich","Home"
1,"Man City","Swansea","Home"
3,"Reading","Fulham","Home"
0,"Stoke","Sunderland","Home"
2,"Wigan","West Ham","Home"
2,"Chelsea","Man United","Home"
2,"Everton","Liverpool","Home"
2,"Newcastle","West Brom","Home"
1,"Southampton","Tottenham","Home"
2,"Fulham","Everton","Home"
2,"Man United","Arsenal","Home"
1,"Norwich","Stoke","Home"
0,"Sunderland","Aston Villa","Home"
1,"Swansea","Chelsea","Home"
0,"Tottenham","Wigan","Home"
0,"West Ham","Man City","Home"
1,"Liverpool","Newcastle","Home"
1,"QPR","Reading","Home"
2,"West Brom","Southampton","Home"
3,"Arsenal","Fulham","Home"
2,"Aston Villa","Man United","Home"
2,"Everton","Sunderland","Home"
0,"Reading","Norwich","Home"
1,"Southampton","Swansea","Home"
1,"Stoke","QPR","Home"
1,"Wigan","West Brom","Home"
1,"Chelsea","Liverpool","Home"
2,"Man City","Tottenham","Home"
0,"Newcastle","West Ham","Home"
5,"Arsenal","Tottenham","Home"
3,"Liverpool","Wigan","Home"
5,"Man City","Aston Villa","Home"
1,"Newcastle","Swansea","Home"
1,"Norwich","Man United","Home"
1,"QPR","Southampton","Home"
2,"Reading","Everton","Home"
2,"West Brom","Chelsea","Home"
1,"Fulham","Sunderland","Home"
1,"West Ham","Stoke","Home"
0,"Aston Villa","Arsenal","Home"
1,"Everton","Norwich","Home"
3,"Man United","QPR","Home"
1,"Stoke","Fulham","Home"
2,"Sunderland","West Brom","Home"
3,"Wigan","Reading","Home"
0,"Chelsea","Man City","Home"
2,"Southampton","Newcastle","Home"
0,"Swansea","Liverpool","Home"
3,"Tottenham","West Ham","Home"
1,"Aston Villa","Reading","Home"
0,"Sunderland","QPR","Home"
0,"Chelsea","Fulham","Home"
1,"Everton","Arsenal","Home"
1,"Man United","West Ham","Home"
1,"Southampton","Norwich","Home"
2,"Stoke","Newcastle","Home"
3,"Swansea","West Brom","Home"
2,"Tottenham","Liverpool","Home"
0,"Wigan","Man City","Home"
0,"Arsenal","Swansea","Home"
0,"Fulham","Tottenham","Home"
1,"Liverpool","Southampton","Home"
1,"Man City","Everton","Home"
1,"QPR","Aston Villa","Home"
3,"Reading","Man United","Home"
0,"West Brom","Stoke","Home"
3,"West Ham","Chelsea","Home"
2,"Norwich","Sunderland","Home"
3,"Newcastle","Wigan","Home"
2,"Arsenal","West Brom","Home"
0,"Aston Villa","Stoke","Home"
1,"Southampton","Reading","Home"
1,"Sunderland","Chelsea","Home"
3,"Swansea","Norwich","Home"
2,"Wigan","QPR","Home"
2,"Everton","Tottenham","Home"
2,"Man City","Man United","Home"
2,"West Ham","Liverpool","Home"
2,"Fulham","Newcastle","Home"
3,"Sunderland","Reading","Home"
1,"Liverpool","Aston Villa","Home"
3,"Man United","Sunderland","Home"
1,"Newcastle","Man City","Home"
2,"Norwich","Wigan","Home"
2,"QPR","Fulham","Home"
1,"Stoke","Everton","Home"
1,"Tottenham","Swansea","Home"
0,"West Brom","West Ham","Home"
2,"Reading","Arsenal","Home"
4,"Liverpool","Fulham","Home"
1,"Man City","Reading","Home"
1,"Newcastle","QPR","Home"
0,"Southampton","Sunderland","Home"
0,"Tottenham","Stoke","Home"
2,"West Brom","Norwich","Home"
1,"West Ham","Everton","Home"
0,"Wigan","Arsenal","Home"
8,"Chelsea","Aston Villa","Home"
1,"Swansea","Man United","Home"
0,"Aston Villa","Tottenham","Home"
2,"Everton","Wigan","Home"
1,"Fulham","Southampton","Home"
4,"Man United","Newcastle","Home"
0,"Norwich","Chelsea","Home"
1,"QPR","West Brom","Home"
0,"Reading","Swansea","Home"
3,"Stoke","Liverpool","Home"
1,"Sunderland","Man City","Home"
7,"Arsenal","Newcastle","Home"
0,"Aston Villa","Wigan","Home"
1,"Fulham","Swansea","Home"
2,"Man United","West Brom","Home"
3,"Norwich","Man City","Home"
1,"Reading","West Ham","Home"
3,"Stoke","Southampton","Home"
1,"Sunderland","Tottenham","Home"
1,"Everton","Chelsea","Home"
0,"QPR","Liverpool","Home"
3,"Man City","Stoke","Home"
1,"Southampton","Arsenal","Home"
2,"Swansea","Aston Villa","Home"
3,"Tottenham","Reading","Home"
1,"West Brom","Fulham","Home"
2,"West Ham","Norwich","Home"
0,"Wigan","Man United","Home"
0,"Chelsea","QPR","Home"
3,"Liverpool","Sunderland","Home"
1,"Newcastle","Everton","Home"
0,"Aston Villa","Southampton","Home"
0,"Everton","Swansea","Home"
1,"Fulham","Wigan","Home"
0,"Norwich","Newcastle","Home"
0,"QPR","Tottenham","Home"
3,"Reading","West Brom","Home"
0,"Stoke","Chelsea","Home"
3,"Sunderland","West Ham","Home"
0,"Arsenal","Man City","Home"
2,"Man United","Liverpool","Home"
2,"Chelsea","Southampton","Home"
5,"Liverpool","Norwich","Home"
2,"Man City","Fulham","Home"
1,"Newcastle","Reading","Home"
3,"Swansea","Stoke","Home"
2,"West Brom","Aston Villa","Home"
1,"West Ham","QPR","Home"
2,"Wigan","Sunderland","Home"
2,"Chelsea","Arsenal","Home"
1,"Tottenham","Man United","Home"
0,"Southampton","Everton","Home"
5,"Arsenal","West Ham","Home"
1,"Aston Villa","Newcastle","Home"
0,"QPR","Man City","Home"
2,"Stoke","Wigan","Home"
0,"Sunderland","Swansea","Home"
2,"Arsenal","Liverpool","Home"
2,"Everton","West Brom","Home"
3,"Fulham","West Ham","Home"
2,"Man United","Southampton","Home"
1,"Norwich","Tottenham","Home"
2,"Reading","Chelsea","Home"
